S.no,PROVINCE,DISTRICT,TEHSIL,TEHSIL - CODE,UC NAME,UC_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,VILLAGE NUMBER,VILLAGE CODE,VILLAGE NAME
119,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,6,1311176,BHOGRAN BOI
120,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,5,1311175,BARBEEN
121,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,4,1311174,BANDI SAMAD
122,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,3,1311173,BANDI PAHAR
123,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,2,1311172,BANDI HAMZA
124,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,1,1311171,BAGOTAR
125,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,28,13111828,TOTANI
126,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,27,13111827,THANA KHURD
127,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,26,13111826,THANA
128,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,25,13111825,SHADIAL
129,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,24,13111824,SAR BANGALA
130,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,23,13111823,NAKKA BHURAJ
131,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,22,13111822,MEHAL
132,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,21,13111821,KONSIAN
133,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,20,13111820,KHANI THAT HIARA
134,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,19,13111819,KASSAKI KHURD
135,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,18,13111818,KASSAKI KALAN
136,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,17,13111817,JATAL
137,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,16,13111816,GORIAN
138,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,15,13111815,GHORI CHAMHAD
139,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,14,13111814,FATEH BANDI
140,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,13,13111813,DARUBBAR
141,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,12,13111812,DANNA BAYIAN
142,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,11,13111811,DANNA
143,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,10,13111810,CHATTA MOHRI
144,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,9,1311189,CHAMHAD
145,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,8,1311188,CHAMAK MAIRA
146,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.114173,73.084788,28,7,1311187,BISALA
