PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL CODE,UC,UC OFFICIAL,UC_UR,UC NUMBER,UC_Code,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NO,V.CODE,VILLAGE NAME
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,2,61112132,JANDAIN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,1,61112131,CHAKIAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,15,611121415,MOHRA NAGIAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,14,611121414,RAJWAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,13,611121413,GOHRA SHAHAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,12,611121412,DHA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,11,611121411,RAWAT
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,10,611121410,KORTANA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,9,61112149,BANGRIL KHURD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,8,61112148,DHOKE RAJGAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,7,61112147,BUNI SARAH
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,6,61112146,MOHRI RAWAT
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,5,61112145,POLICE FOUNDATION COLONY
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,4,61112144,DHOKE ADRA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,3,61112143,CHAK KHAS RAWAT
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,2,61112142,CHAK NOORI
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.15 RAWAT,UC No.15 RAWAT,2,14,6111214,33.55147710,73.16793830,15,1,61112141,SHEIKHPUR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.16 Humak(Swan Camp),UC No.16 Humak(Swan Camp),2,15,6111215,33.53855944,73.14260915,1,1,61112151,UC No.16 Humak(Swan Camp)
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.17 Humak,UC No.17 Humak,2,16,6111216,33.58243675,73.16343229,1,1,61112161,UC No.17 Humak
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.18 Loi Bher,UC No.18 Loi Bher,2,17,6111217,33.58203097,73.16418021,1,1,61112171,UC No.18 Loi Bher
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.19 Pagh Panwal,UC No.19 Pagh Panwal,2,18,6111218,33.58203097,73.16418021,1,1,61112181,UC No.19 Pagh Panwal
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.2 Muslim Colony,UC No.2 Muslim Colony,2,19,6111219,33.5874944,73.15598933,1,1,61112191,UC No.2 Muslim Colony
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.20 Kirpa,UC No.20 Kirpa,2,20,6111220,33.73676205,73.10967146,1,1,61112201,UC No.20 Kirpa
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.21 Koral,UC No.21 Koral,2,21,6111221,33.62028171,73.23254557,5,5,61112215,KORAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.21 Koral,UC No.21 Koral,2,21,6111221,33.62412000,73.11719000,5,4,61112214,GHOURI TOWN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.21 Koral,UC No.21 Koral,2,21,6111221,33.62412000,73.11719000,5,3,61112213,SHAREEFABAD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.21 Koral,UC No.21 Koral,2,21,6111221,33.62412000,73.11719000,5,2,61112212,LOHI BHEER
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.21 Koral,UC No.21 Koral,2,21,6111221,33.62412000,73.11719000,5,1,61112211,GULBERG
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.22 Harno Thand pani,UC No.22 Harno Thand pani,2,22,6111222,33.65847542,73.230843,1,1,61112221,UC No.22 Harno Thand pani
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.23 Khana Dak,UC No.23 Khana Dak,2,23,6111223,33.62982684,73.12451134,1,1,61112231,UC No.23 Khana Dak
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.24 Tarlai Kalan,UC No.24 Tarlai Kalan,2,24,6111224,33.64095360,73.15598450,4,4,61112244,TARLAE
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.24 Tarlai Kalan,UC No.24 Tarlai Kalan,2,24,6111224,33.64095360,73.15598450,4,3,61112243,CHAPPAR MEER KALAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.24 Tarlai Kalan,UC No.24 Tarlai Kalan,2,24,6111224,33.64095360,73.15598450,4,2,61112242,TRAMRI
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.24 Tarlai Kalan,UC No.24 Tarlai Kalan,2,24,6111224,33.64095360,73.15598450,4,1,61112241,SUDHAR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.25 Ali Pur,UC No.25 Ali Pur,2,25,6111225,33.64139755,73.17794174,1,1,61112251,UC No.25 Ali Pur
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.26 Mohrian,UC No.26 Mohrian,2,26,6111226,33.6717459,73.18992675,1,1,61112261,UC No.26 Mohrian
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.27 Sohan Dehati,UC No.27 Sohan Dehati,2,27,6111227,33.66063618,73.09554907,1,1,61112271,UC No.27 Sohan Dehati
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.28 Chakshahazad,UC No.28 Chakshahazad,2,28,6111228,33.66711585,73.14319941,1,1,61112281,UC No.28 Chakshahazad
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.29 Malot,UC No.29 Malot,2,29,6111229,33.70701062,73.21138102,1,1,61112291,UC No.29 Malot
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.3 NoorPur Shahan,UC No.3 NoorPur Shahan,2,30,6111230,33.73930920,73.09661070,2,2,61112302,JKL
